Wavenumber (cm⁻¹),Importance,sample_type,train_percentage,test_name,target_variable,accuracy,model,search_type
2790.510089972292,0.0011152841729307,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2788.581610297121,0.0010989270139979,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2786.65313062195,0.0010213850896895,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2784.72465094678,0.0009408589299897,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2782.796171271609,0.0009312123810443,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2780.867691596438,0.0009999526575426,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2778.939211921267,0.0011147251000855,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2777.010732246096,0.0012040910258453,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2775.082252570925,0.0012179332464942,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2773.153772895754,0.0011759119059177,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2771.225293220583,0.0011203550601788,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2769.296813545412,0.001072193232827,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2767.368333870241,0.0010265052621212,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2765.43985419507,0.0009905503159954,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2763.5113745199,0.0009862104880291,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2761.582894844729,0.0010209296775049,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2759.654415169558,0.0010740423342554,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2757.725935494387,0.0010887481712948,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2755.797455819216,0.0010299809542491,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2753.868976144045,0.0008787058986503,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2751.940496468874,0.0006330210640837,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2750.012016793703,0.0004218504304161,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2748.083537118532,0.0003605644965008,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2746.155057443361,0.0003911561372101,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2744.226577768191,0.000479590078788,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2742.29809809302,0.0005343408669962,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2740.369618417849,0.0003726494333433,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2738.441138742678,0.0001317834422034,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2736.512659067507,5.045346906238814e-06,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2734.584179392336,0.0001727971267488,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2732.655699717165,0.0003605959425809,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2730.727220041994,0.0004117758818182,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2728.798740366823,0.0005515793593532,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2726.870260691652,0.0008748609916643,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2724.941781016481,0.0012955206660289,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2723.013301341311,0.00189566878359,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2721.08482166614,0.0024494673002501,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2719.156341990969,0.0024778943427266,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2717.227862315798,0.0019972474428819,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2715.299382640627,0.0010503114586634,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2713.370902965456,2.453223670520428e-05,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2711.442423290285,0.0006195781047534,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2709.513943615114,0.0008064785959694,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2707.585463939944,0.0006783448703833,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2705.656984264772,0.0002356086331165,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2703.728504589601,6.437543202165483e-05,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2701.800024914431,6.537284378866426e-06,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2699.87154523926,0.0003092102315108,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2697.943065564089,0.0006035854041675,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2696.014585888918,0.0007863864085116,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2694.086106213747,0.0008638712884784,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2692.157626538576,0.0008279740204719,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
