Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),1.344579811943524,0.6276369902092629,3.907422126315616,0.1296367963608266,,,,,,rdw,,12.0,,300.0,1.0,2.0,,,,,,True,,
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),1.3709853063068957,0.6508040188244697,4.048205668017162,0.09511591512372108,,,,,,rdw,,15.0,,297.0,1.0,3.0,,,,,,True,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),1.347024837042116,0.683348812716356,4.355495960702864,0.10119218888679815,,,,,,rdw,,3.0,,300.0,9.0,2.0,,,,,,True,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),1.4065524749117935,0.7473524768271322,4.811497578818911,0.019996764671382117,,,,,,rdw,,5.0,,216.0,5.0,19.0,,,,,,True,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),1.3439368001180776,0.6792889293071311,4.328160357773532,0.10530847564557633,,,,,,rdw,,4.0,,300.0,8.0,18.0,,,,,,True,,
PLASMA,0.8,Random Forest Regressor (BayesSearchCV),1.410522504614164,0.7456985602245437,4.796787803586119,0.014456789818679372,,,,,,rdw,,15.0,,162.0,10.0,20.0,,,,,,True,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),1.5758617203777234,0.7532890420714847,4.740948759122835,-0.0553962351542987,,,,,,rdw,,3.0,,50.0,1.0,2.0,,,,,,True,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),1.5335116578296193,0.6939242680737593,4.3529966542733405,0.0005674443007769314,,,,,,rdw,,3.0,,50.0,7.0,20.0,,,,,,True,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),1.5758617203777234,0.7532890420714847,4.740948759122835,-0.0553962351542987,,,,,,rdw,,3.0,,50.0,1.0,2.0,,,,,,True,,
SALIVA,0.8,Random Forest Regressor (BayesSearchCV),1.5335116578296193,0.6939242680737593,4.3529966542733405,0.0005674443007769314,,,,,,rdw,,3.0,,50.0,7.0,20.0,,,,,,True,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),1.4041536940414616,0.6126529278080595,3.8286970330352057,0.0683047823526165,,,,,,rdw,,10.0,,300.0,4.0,3.0,,,,,,True,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),1.3760649997855683,0.5936436120585679,3.7030539467125436,0.10520722233734225,,,,,,rdw,,9.0,,199.0,4.0,18.0,,,,,,True,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),1.404238556785062,0.6128982677757895,3.8303975389135436,0.06819216134543737,,,,,,rdw,,8.0,,300.0,4.0,2.0,,,,,,True,,
SERUM,0.8,Random Forest Regressor (BayesSearchCV),1.3713971766059887,0.5825445060459584,3.6223159874477786,0.11126747444421026,,,,,,rdw,,3.0,,50.0,6.0,2.0,,,,,,True,,
URINE,0.8,Random Forest Regressor (BayesSearchCV),1.50202690693652,0.7711747424535487,4.935168082703834,-0.025890310498241753,,,,,,rdw,,3.0,,266.0,5.0,20.0,,,,,,True,,
URINE,0.8,Random Forest Regressor (BayesSearchCV),1.4763598916751868,0.7339866349137956,4.672588398818743,0.008871466554063567,,,,,,rdw,,9.0,,50.0,10.0,2.0,,,,,,True,,
URINE,0.8,Random Forest Regressor (BayesSearchCV),1.5007593868613094,0.7689863976383265,4.918041087656187,-0.024159598620836054,,,,,,rdw,,3.0,,300.0,7.0,20.0,,,,,,True,,
URINE,0.8,Random Forest Regressor (BayesSearchCV),1.4824136016819096,0.7386547940740172,4.701239309844152,0.000726696361279644,,,,,,rdw,,12.0,,50.0,8.0,20.0,,,,,,True,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),1.4317373344548203,0.7256410256410254,4.600541838320462,0.01314340155346927,,,,,,rdw,absolute_error,92.0,sqrt,,11.0,50.0,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),1.4293422199551853,0.7177290058869014,4.518331836790086,0.016442411031182713,,,,,,rdw,squared_error,33.0,sqrt,,3.0,50.0,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),1.4609445486940886,0.7641025641025639,4.846593882003073,-0.02753071805227636,,,,,,rdw,absolute_error,55.0,sqrt,,9.0,36.0,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),1.489148784562544,0.7333333333333332,4.590569917753321,-0.06758762795231976,,,,,,rdw,absolute_error,77.0,log2,,14.0,44.0,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),1.3822127112570728,0.6873873873873874,4.368790375569348,0.05362034342312372,,,,,,rdw,squared_error,1.0,,,20.0,41.0,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),1.4415600015591572,0.7309523809523808,4.6702071861625445,-0.029392685947280173,,,,,,rdw,absolute_error,72.0,log2,,11.0,39.0,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),1.3822127112570728,0.6873873873873874,4.368790375569348,0.05362034342312372,,,,,,rdw,squared_error,1.0,,,1.0,14.0,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),1.3992911170522793,0.7158413848631238,4.593444113420674,0.030089222181652997,,,,,,rdw,squared_error,1.0,,,20.0,5.0,,,,,,,,
SALIVA,0.8,Decision Tree Regressor (BayesSearchCV),1.5508830050129814,0.719047619047619,4.4953258667445235,-0.022203590736940004,,,,,,rdw,absolute_error,1.0,sqrt,,1.0,50.0,,,,,,,,
